"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4296","2 – toHaveText / toContainText","chromium","Thu Jun 18 15:11:09 PKT 2026","passed","Thu Jun 18 15:11:13 PKT 2026","Validations","validations.spec.ts","",""
"","3810","should locate elements using different strategies","chromium","Thu Jun 18 15:10:38 PKT 2026","passed","Thu Jun 18 15:10:42 PKT 2026","Locators","locators.spec.ts","",""
"","4500","9 – not.toXxx negative assertions","chromium","Thu Jun 18 15:11:40 PKT 2026","passed","Thu Jun 18 15:11:44 PKT 2026","Validations","validations.spec.ts","",""
"","18373","should allow users to log in with valid credentials","chromium","Thu Jun 18 15:10:42 PKT 2026","passed","Thu Jun 18 15:11:01 PKT 2026","Login Page","locators1.spec.ts","",""
"","13884","should allow users to create a design","chromium","Thu Jun 18 15:10:22 PKT 2026","failed","Thu Jun 18 15:10:36 PKT 2026","Canva","canva.spec.ts","",""
"","8721","7 – validate error messages on invalid login","chromium","Thu Jun 18 15:11:29 PKT 2026","passed","Thu Jun 18 15:11:37 PKT 2026","Validations","validations.spec.ts","",""
"","3585","should allow users to log in with valid credentials","chromium","Thu Jun 18 15:11:01 PKT 2026","passed","Thu Jun 18 15:11:04 PKT 2026","Login","login.spec.ts","",""
"","2367","8 – toHaveCount (TodoMVC)","chromium","Thu Jun 18 15:11:37 PKT 2026","passed","Thu Jun 18 15:11:40 PKT 2026","Validations","validations.spec.ts","",""
"","3004","10 – toHaveCSS","chromium","Thu Jun 18 15:11:44 PKT 2026","passed","Thu Jun 18 15:11:47 PKT 2026","Validations","validations.spec.ts","",""
"","4272","4 – toHaveValue / toBeEmpty","chromium","Thu Jun 18 15:11:18 PKT 2026","passed","Thu Jun 18 15:11:22 PKT 2026","Validations","validations.spec.ts","",""
"","2858","5 – toHaveAttribute","chromium","Thu Jun 18 15:11:22 PKT 2026","passed","Thu Jun 18 15:11:25 PKT 2026","Validations","validations.spec.ts","",""
"","4697","1 – toBeVisible / toBeHidden","chromium","Thu Jun 18 15:11:04 PKT 2026","passed","Thu Jun 18 15:11:09 PKT 2026","Validations","validations.spec.ts","",""
"","4654","3 – toHaveURL / toHaveTitle","chromium","Thu Jun 18 15:11:13 PKT 2026","passed","Thu Jun 18 15:11:18 PKT 2026","Validations","validations.spec.ts","",""
"","3329","6 – toBeEnabled / toBeDisabled","chromium","Thu Jun 18 15:11:25 PKT 2026","passed","Thu Jun 18 15:11:29 PKT 2026","Validations","validations.spec.ts","",""
